year,country,metric,total,male,female,data_type
2000,Denmark,Medicated patients (national registers),2024.0,,,observed
2001,Denmark,Medicated patients (national registers),2964.6,,,interpolated
2002,Denmark,Medicated patients (national registers),3905.2,,,interpolated
2003,Denmark,Medicated patients (national registers),4845.8,,,interpolated
2004,Denmark,Medicated patients (national registers),5786.4,,,interpolated
2005,Denmark,Medicated patients (national registers),6727.0,,,observed
2006,Denmark,Medicated patients (national registers),11885.4,,,interpolated
2007,Denmark,Medicated patients (national registers),17043.8,,,interpolated
2008,Denmark,Medicated patients (national registers),22202.199999999997,,,interpolated
2009,Denmark,Medicated patients (national registers),27360.6,,,interpolated
2010,Denmark,Medicated patients (national registers),32519.0,,,observed
2011,Denmark,Medicated patients (national registers),34476.6,,,interpolated
2012,Denmark,Medicated patients (national registers),36434.2,,,interpolated
2013,Denmark,Medicated patients (national registers),38391.8,,,interpolated
2014,Denmark,Medicated patients (national registers),40349.4,,,interpolated
2015,Denmark,Medicated patients (national registers),42307.0,,,observed
2016,Denmark,Medicated patients (national registers),46202.0,,,interpolated
2017,Denmark,Medicated patients (national registers),50097.0,,,interpolated
2018,Denmark,Medicated patients (national registers),53992.0,,,interpolated
2019,Denmark,Medicated patients (national registers),57887.0,,,interpolated
2020,Denmark,Medicated patients (national registers),61782.0,,,observed
2021,Denmark,Medicated patients (national registers),74244.5,,,interpolated
2022,Denmark,Medicated patients (national registers),86707.0,,,observed
